target,lead,scenario,set,model,n,mae,mae_lo,mae_hi,rmse,mae_persistence,skill_vs_persistence,skill_lo,skill_hi,dm_stat,dm_p
toc,3,lab_known,ABCD,rf,629,0.15825366798222523,0.10001128976344408,0.23396406282468707,0.3986609490936047,0.13887122416534178,-0.13957134700423235,-0.45775576223954983,0.06447815709384755,0.9509419874533245,0.3419996535457738
toc,3,lab_known,ABCD,hgb,629,0.14985487809712958,0.10524958524072038,0.2053008488974583,0.34899583612333146,0.13887122416534178,-0.0790923677515114,-0.22707033460453424,0.028720751015501676,1.329037008855983,0.18431840619983894
toc,3,lab_blind,BCD,ridge,629,0.508635426833133,0.3363916548371577,0.7189919520931602,0.8924596543443707,0.13887122416534178,-2.66264090988026,-3.8889795654583152,-1.7392746709604776,4.665644225065103,3.761937366430888e-06
toc,3,lab_blind,BCD,rf,629,0.5002100346906828,0.33667749106972766,0.7068055615763188,0.8726872837702502,0.13887122416534178,-2.6019703700107564,-3.484797521707917,-1.8951924788542804,4.951394125753922,9.480776361889569e-07
toc,3,lab_blind,BCD,hgb,629,0.47408659947738013,0.31935742693851843,0.6716195126544917,0.8346256795128385,0.13887122416534178,-2.413857711176556,-3.2788960922133534,-1.7506672442928162,4.974346590914615,8.461446342517102e-07
toc,4,lab_known,ABCD,ridge,627,0.19996010316514384,0.14952437376887015,0.26852379697420853,0.37252922453744486,0.1618022328548644,-0.23583030738832167,-0.524273375174228,-0.018716982441284603,2.3613858780647976,0.018512117382240303
toc,4,lab_known,ABCD,rf,627,0.1803588071011613,0.1144757951922114,0.2606562495268012,0.4327362800649868,0.1618022328548644,-0.11468676246848863,-0.3916488179858332,0.06903996235674913,0.9169415196893127,0.3595263981553934
toc,4,lab_known,ABCD,hgb,627,0.1621511027765358,0.1146098567704003,0.22154653765400992,0.3731743102962117,0.1618022328548644,-0.002156150230536946,-0.14285978122723475,0.1103131138481223,0.03448834855454322,0.9724987271621334
toc,4,lab_blind,BCD,ridge,627,0.4965477047718795,0.3303354570124369,0.6977351022935085,0.8635718696053104,0.1618022328548644,-2.068855701251538,-3.032867856444509,-1.352024154084744,4.681310968273377,3.4967241913294493e-06
toc,4,lab_blind,BCD,rf,627,0.49545504940475255,0.33719718380637803,0.6951424895141353,0.8523694879820963,0.1618022328548644,-2.062102671037752,-2.7799471499344643,-1.4755772708646164,5.00986228911785,7.0954057853976e-07
toc,4,lab_blind,BCD,hgb,627,0.4598349799692219,0.313910296635445,0.6479411335380734,0.8149161652812319,0.1618022328548644,-1.8419569486515743,-2.5114089651015616,-1.2726141181527928,4.8410216591913375,1.6291813762190692e-06
toc,7,lab_known,ABCD,ridge,623,0.2721899144289234,0.20453800594856617,0.35538462691426503,0.4915795654415974,0.2326645264847512,-0.1698814535303157,-0.4726521929605905,0.05554471311757181,1.5071005876527788,0.13229257358511912
toc,7,lab_known,ABCD,rf,623,0.2593589794332965,0.17985790580051295,0.35609737944765535,0.5225627292988259,0.2326645264847512,-0.11473366117242989,-0.3824028082210628,0.08391421998103059,1.0218021291157713,0.3072718062488117
toc,7,lab_known,ABCD,hgb,623,0.2229961140902253,0.1616159984724214,0.2955724707528572,0.45467287854357125,0.2326645264847512,0.04155516331003539,-0.15774392415464092,0.1903313802089045,-0.4569555566609276,0.6478625322064087
