target,baseline,fold,n,mae,mae_lo,mae_hi,rmse,mae_persistence,skill_vs_persistence,skill_lo,skill_hi,dm_stat,dm_p
alk,persistence,test2023,185,1.4318918918918917,1.2291621621621622,1.6070405405405404,1.9344389507177666,1.4318918918918917,0.0,0.0,0.0,,
alk,climatology,test2023,185,10.73252000056348,7.971790306814221,15.02384878553683,13.659971158566968,1.4318918918918917,-6.495342393749507,-10.416244782556372,-4.266321611909525,5.610692098625306,7.306842755953544e-08
alk,persistence_drift,test2023,185,2.1205405405405404,1.746202702702703,2.472702702702702,2.884722104747981,1.4318918918918917,-0.48093620234050594,-0.6010264302906871,-0.3307058464724129,6.175781447324415,4.115949746499103e-09
alk,persistence,test2024,112,1.666964285714285,1.4080133928571423,1.8910937499999994,2.4377426619137395,1.666964285714285,0.0,0.0,0.0,,
alk,climatology,test2024,112,6.146740533506636,4.583121935843304,8.286632812499999,7.20872179942352,1.666964285714285,-2.6873858583435646,-4.337687761902338,-1.7903820935008723,5.635235029492521,1.341538767702996e-07
alk,persistence_drift,test2024,112,2.6187499999999986,2.010658482142856,3.067879464285714,3.5729014819891125,1.666964285714285,-0.5709694697375467,-0.7579568459564813,-0.28532658874023703,5.336808925184104,5.059904287509231e-07
alk,persistence,test2025,205,1.4629268292682929,1.237060975609756,1.7512317073170731,1.9670827725711855,1.4629268292682929,0.0,0.0,0.0,,
alk,climatology,test2025,205,7.368643986730557,5.0476662734938555,9.423109793390314,8.935086732692554,1.4629268292682929,-4.0369190306094165,-5.7941305727048364,-2.328933294267189,6.131876136713872,4.427728888082164e-09
alk,persistence_drift,test2025,205,2.162439024390244,1.799512195121952,2.5763597560975606,2.9580646276684717,1.4629268292682929,-0.47815938646215406,-0.5773920996012345,-0.3390118433497916,6.462622935604846,7.427369116416861e-10
alk,persistence,test2026,131,1.8480916030534347,1.4652576335877858,2.330171755725191,2.4536466084970985,1.8480916030534347,0.0,0.0,0.0,,
alk,climatology,test2026,131,10.286860896662594,7.119544734118257,14.325807409139685,12.207768298100609,1.8480916030534347,-4.5662072592432885,-7.1246955839252495,-2.9290076808948697,5.7939013644626876,4.917949900567009e-08
alk,persistence_drift,test2026,131,2.9526717557251905,2.4056488549618322,3.633263358778626,3.7994475291438827,1.8480916030534347,-0.5976869062370922,-0.69593871440692,-0.503819150735503,9.567894731455905,9.612435140414005e-17
alk,persistence,POOLED,633,1.5696682464454976,1.4312539494470773,1.7204660347551337,2.1550301200506303,1.5696682464454976,0.0,0.0,0.0,,
alk,climatology,POOLED,633,8.739497527013508,7.386249921241355,10.55774531629619,10.973860052634649,1.5696682464454976,-4.567735441424669,-5.887149833381708,-3.582361734862914,8.896110535730392,6.046592060098671e-18
alk,persistence_drift,POOLED,633,2.394470774091627,2.1534695892575035,2.655720774091627,3.242227307684016,1.5696682464454976,-0.5254629629629628,-0.5976191396357048,-0.4521342129332281,11.860119902372057,1.9503347061966315e-29
